Service Name,Category,Status,Description,Target Audience,Benefits,CTA,Customer Problems,Deliverables,FAQs,Pricing Approach,Process,Solutions,Timeline
Search Engine Optimization (SEO),Digital Marketing,Draft,,,,,,,,,,,
Digital Marketing,Digital Marketing,Draft,,,,,,,,,,,
Local SEO,Digital Marketing,Draft,,,,,,,,,,,
Google Ads Management,Digital Marketing,Draft,,,,,,,,,,,
Google Business Profile (GMB) Optimization,Digital Marketing,Draft,,,,,,,,,,,
Meta Ads Management,Digital Marketing,Draft,,,,,,,,,,,
Social Media Marketing,Digital Marketing,Draft,,,,,,,,,,,
Content Marketing,Digital Marketing,Draft,,,,,,,,,,,
Content Creation,Content Creation,Draft,,,,,,,,,,,
Graphic Design,Social Media Design,Draft,,,,,,,,,,,
Branding & Brand Identity,Branding,Draft,,,,,,,,,,,
Logo Design,Branding,Draft,,,,,,,,,,,
Website Maintenance,Digital Marketing,Draft,,,,,,,,,,,
Website Design,Digital Marketing,Draft,,,,,,,,,,,
Landing Page Development,Digital Marketing,Draft,,,,,,,,,,,
Website Development,Digital Marketing,Draft,,,,,,,,,,,
E-commerce Website Development,Digital Marketing,Draft,,,,,,,,,,,
UI/UX Design,Branding,Draft,,,,,,,,,,,
Video Editing,Content Creation,Draft,,,,,,,,,,,
Motion Graphics,Content Creation,Draft,,,,,,,,,,,
Reels & Shorts Production,Content Creation,Draft,,,,,,,,,,,
Photography & Product Shoots,Content Creation,Draft,,,,,,,,,,,
Copywriting,Content Creation,Draft,,,,,,,,,,,
Email Marketing,Digital Marketing,Draft,,,,,,,,,,,
Conversion Rate Optimization (CRO),Digital Marketing,Draft,,,,,,,,,,,
WhatsApp Marketing,Digital Marketing,Draft,,,,,,,,,,,
Lead Generation,Digital Marketing,Draft,,,,,,,,,,,
Sales Funnel Development,Digital Marketing,Draft,,,,,,,,,,,
Marketing Automation,Digital Marketing,Draft,,,,,,,,,,,
Google Analytics Setup,Digital Marketing,Draft,,,,,,,,,,,
Google Tag Manager Setup,Digital Marketing,Draft,,,,,,,,,,,
Looker Studio Dashboard,Digital Marketing,Draft,,,,,,,,,,,
Reputation Management,Digital Marketing,Draft,,,,,,,,,,,
Online Reputation Management (ORM),Digital Marketing,Draft,,,,,,,,,,,
Business Consulting,Digital Marketing,Draft,,,,,,,,,,,
Digital Strategy,Digital Marketing,Draft,,,,,,,,,,,
Market Research,Digital Marketing,Draft,,,,,,,,,,,
Competitor Analysis,Digital Marketing,Draft,,,,,,,,,,,
